year,startdate,enddate,exact_duration,continent,country,region,label,combine_with_previous,enjoyment,transport,with_ralph,with_father,with_mother,with_inlaws,with_other,type,notes
2013,03/08/13,11/08/13,exact,africa,Kenya,,,f,9,plane,y,y,n,n,,safari,
2013,12/08/13,22/08/13,exact,africa,Tanzania,,Kenya & Tanzania,l,9,truck,y,y,n,n,,safari,
2014,05/01/14,12/01/14,exact,europe,Finland,Pyha,Finland,n,10,plane,y,n,n,n,,nature,celebrating 10 years together
2014,24/05/14,31/05/14,exact,turkey,Turkey,Kefaluka,Turkey,n,7,plane,y,n,n,n,,sun,
2014,17/10/14,07/11/14,exact,asia,Japan,,Japan,n,8,plane,y,n,n,n,,nature,
2015,07/07/15,11/07/15,exact,usa,USA,Alaska,,f,9,plane,y,y,n,n,,nature,
2015,12/07/15,16/07/15,exact,canada,Canada,Yukon,,y,9,camper,y,y,n,n,,nature,
2015,17/07/15,29/07/15,exact,usa,USA,Alaska,Alaska (US) & Yukon (CA),l,9,camper,y,y,n,n,,nature,
2016,06/02/16,14/02/16,exact,europe,Iceland,South coast,Iceland,n,10,plane,y,n,n,n,,nature,
2016,14/05/16,21/05/16,exact,europe,Spain,Mallorca,Spain,n,7,plane,y,n,n,y,,sun,
2016,15/10/16,05/11/16,exact,asia,Myanmar,,Myanmar,n,unknown,plane,y,n,n,n,,culture,
2016,22/12/16,26/12/16,exact,europe,United Kingdom,London,London,n,unknown,plane,y,n,n,n,,christmas,celebrating 12.5 years together & meeting Shirley
